id	sentiment	review
280_10	+	At the beginning of this film, which I found myself watching on IFC in the wee hours of the morning, I was filled with a sense of claustrophobia and general discomfort. The feeling of being trapped with no way to escape was so powerful that I didn't know if I wanted to continue watching...although it didn't really seem to me that I had much of a choice, so compelling was the situation.Gradually, though, that feeling of discomfort waned (although it never really disappeared entirely), and I felt drawn into Tessa & Bobby's predicaments, and really just hoping against hope that they might get back together.Really just a moving, powerful story fit snugly into a tiny package. I had no idea that Sarah Polley had anything to do with it until perusing her trivia, so now I love it even more.I definitely recommend it. ...If your lucky enough to catch it on the Independent Film Channel sometime, or wily enough to figure out some other way to view it.
2515_1	-	How dare you? Adam Low, without apparent shame, puts his name to this fake tribute. It's not even a serious study or analysis or commentary of the great Visconti's work. Yes it's long and portentous, yes we do have some wonderful clips from the films that, most people interested on the subject, have already seen. But what resounds the longest leaving the most lasting impression is the gossip. The last and loudest voice comes from a third rate German actor, ranting and raving. The appropriately named Mr.Low directed this, hoping, I imagine, to get better ratings than his previous, more to the point, but deadly boring documentary on Kurosawa. Well I have news for you Mr Low and your cohorts. You missed a great opportunity and I for one, won't give you another.
11031_1	-	This movie is an example of small budget,ineffective star cast,weak storyline and poor entertainment. This kind of movies are made for commercial breaks and not for any entertainment of die-hard fans of bollywood movies. I went to this movie because i thought the earlier one gangster was tolerable so this is also. Only thing I appreciate the way new actress put herself in the movie in a very bold way, she very much resembles bollywood actress nandita das. she is good ,sexy and acting well. she definitely go up in her career. our mithunda was all time good at his work .atleast he has some good to the movie. I didn't like imraan for his role must advise him to improve himself now as he has done many movies as new actor and he has been seen as established actor This movie has nothing except the bold scene done by new actress Never try this movie
8008_4	-	I think that saying this film has too many is not what makes this film bad. The twists are not the problem of the film. The story is quite clever and could have been very cool if filmed right. The major problems why everyone is complaining about the twists in the film is that the film is just not fascinating enough to make people follow them. The film is badly shot (at least in comparison to its genre brother Lock, Stock). Worse: the characters are (although often well acted) just plain flat. The characters don't have enough time to be introduced well enough to let the viewer get involved with a single one of them, let alone understand them. Oh, and the locations are just terrible: locations-person (I didn't bother to watch the credits for your name) - get another job (maybe still photography or interior design)
455_10	+	I really enjoy this movie. The first time it was on Turner Classic Movies. All the actors did very well but Brynner steals the show again like always ( he is so sexy!).This is one of the movie that you do see Brynner's emotions. Actually this movie this is the first I ever seen him laugh because he plays very strong, larger-than-life and serious roles in other movies. In this movie you see both a masculine, tough and sensitive side of Brynner .Brynner seems to be a "ladies'man" in this movie.That is amazing how Brynner eats the glass cup and speaks in his Russian tongue it drives me crazy in love. I don't understand when both Brynner and Kerr ( they both have very good chemistry) stars in a movie together and then Brynner always die at the end it kind of reminds you "The King and I" in a way.
12461_8	+	Don't let the wildly varying reviews of the movie deter you. You'll love it or hate it according to your own tastes. However, if for no other reason, see "Greystoke" to experience the excitement of a great actor grabbing your heart as he breathes life into his role. Ralph Richardson was not a great actor for how perfectly he could handle Shakespeare; rather, he is to be remembered for his sensitive treatment of every character he portrayed. He was never indifferent to his responsibility as an actor. His reading of the part of the Sixth Lord of Greystoke, his last performance, is to be cherished by all who love the theatre.
3580_4	-	'R Xmas is one of the only films I've seen where I can almost say that simply nothing happens.I felt as though I watched a drug dealing middle- class couple,with child,walk around,eat,smoke,converse(excuse me,swear)through most of the film.And I don't believe I'm missing the point.I think this film was well directed,well acted(although the husband's performance was rather wooden),and the constant feeling of impending doom around every corner certainly kept the viewer involved.But when the dust clears,your left with zero(just a boat-load of fade outs).I didn't want car chases,gun violence,beatings,etc.In fact,I'm sick of violence.But my goodness,let's at least get a bit deeper into all these characters(let's get to know each of these corrupt officers a little better-not just show glancing shots of them as street thugs).Why was the dialogue so juvenile? Everyone spoke as if they were in junior high.I believe even this side of our human race can say something other than fu_ _,sh_ _,etc.The pacing and the storyline of 'R Xmas I found quite interesting,but the execution was plain and simple-empty.4/10
1741_10	+	I loved this show. Such talent; and I am so disappointed that it is canceled, after only just beginning. I looked forward to this show all week long. And so sorry for the people who were hoping to be The One. I would have loved to see who would have won. It just began, and in my opinion,it should not have been canceled. I hope these young artist have been viewed by talent scouts, and have the opportunity to reach their goals. I voted, and sat waiting for it to come on; never knowing that it was canceled. And I could not believe that it was. I am amazed that it had low ratings; because it was in my opinion one of the best reality shows on TV.
6547_10	+	I saw UZUMAKI about a year ago and was mesmerized. The only Japanese horror film I had seen before this one was KWAIDAN (Which I proudly own on DVD, by the way), superb! The idea of a town being absorbed by spirals sounds exactly like something out of Lovecraft. Certainly it reminds one of SHADOW OVER INNSMOUTH, of the inhabitants slowly turning into monstrosities (in this case giant snails). And who can forget the washing machine sequence? I hope we will soon see this one available on Region 1 DVD (I see that Sundance has recently screened it on US TV, hopefully they'll do it again very soon) so that we can all see it. HIGHLY RECOMMENDED!!!!!
10534_2	-	Steven Segal's movie career is a tribute to horrible cinema. I have been tragically bored with every one of them as soon as I realized that they were even more unrealistic than Jean Claude VanDamme's. Has anyone else ever noticed that he never gets hit?! I mean, give me something to root for...a hard fought battle with a bad guy who's scary. TWENTY YEARS and he's still filming the same fight scenes. Fight scenes can often distract you from the fact that your hero cannot act. The boring choreography of a Segal film places his painful lack of acting skill in sharp relief. Worse yet, he's woefully out of shape. Just what we need, a fat stiff who THINKS he's a leading man. There's not one iota of redeeming cinematic value in all this movies ninety or so minutes. Do NOT watch this unless you feel like throwing away an hour and a half of your life.
9767_10	+	I remember watching this series avidly and being so disappointed when it came to an end. Over the years since then, I have tried to find out if I could obtain a copy of it on either video or d.v.d., to no avail. However, I was delighted to find this website with details of it, only to be disappointed again at the point of purchase, that the videos available will not play on English recorders! This production was so wonderful, being absolutely accurate with Nevil Shute's novel, taking the storyline through after the end of the war, with Joe and Jean's subsequent life together - absolutely marvellous - and I just wish I were able to see it again, as since it's original screening, there have been no repeats of it on British television.
383_1	-	What do you do with all the material that does not make the final edit of a film? You might keep it aside in case a director's cut or extended version is released one day. You might sell some it as stock footage to be used in a part of another film. You might just bin it. Or you might collect it, accumulating more and more from each film you make and then use it to make another film, disregarding coherence or any sense. Throw a very primitive skeleton of a narrative into it and line up a number opportunities (nay, excuses) to slot in your celluloid cast-offs. Excuse the abjectly nonsensical nature of the plot by framing it all in the mind of a horror film director and you've got yourself an awful film. This can all be done with just a few days shooting. And idiots like me will waste two hours of their life watching it. And then come on here and try to warn others away. The whole chain of events is one big waste of time.
6100_1	-	This short subject is a remake of the Three Stooges' 1942 film "What's the Matador?", about the boys' trip to Mexico and their bullfighting adventures. Although the original short was made during the Stooges' peak period, it isn't that memorable and I believe it is one of the more mediocre films with Curly Howard.Having established that, I believe that "Sappy Bullfighters" is just pathetically awful, like all the other shorts with Joe Besser. Moe and Larry never should have hired Besser, because his whiny, almost feminine character was completely wrong for the violent comedy of the Stooges. His 16 films with Moe and Larry marked the nadir for the team, and those shorts are embarrassing to watch. This short was released in 1959 and was the team's swan song with Columbia. Maybe Besser was a nice guy, but he was all wrong as the third stooge.I won't review any more Besser shorts, because I would just be giving the same scathingly negative review over and over. Do yourself a big favor and don't watch this. Instead, try to catch "In the Sweet Pie and Pie" or "Hoi Polloi".
5449_4	-	Congo is another multi-milion dollar adaptation of Crichton's works. Like Jurassic Park, The Lost World, Sphere, etc, the film raped the book of its true meaning and essence. I'll make this short and to the point. The scenery is beautiful. The actors, well it's the best they can do. The script? Try congesting hundreds of pages into an hour and half movie. You get a mess in the end but how neat of a mess is what counts and Congo falls somewhere below that. There were some silly moments, like why did the killer gorillas decide to jump into the lava? And Amy, raised by humans, surrounded by humans, yet can intimidate dozens of killer apes around her? What sort of twist of common sense is that? Which brings me to this. If there was an annoying character in every movie, Amy ranks of one here. You see Amy is this naive little female ape who can talk with a special backpack and harness strapped to her. Neat idea, but it gets annoying after awhile hearing her talk. Congo is worthwhile to see, and not deplorable, but certainly not a memorable film either.
1818_10	+	20 Years later and this movie still has echoes of its greatness floating around. Never has a movie surpassed Valley Girl's incredible soundtrack. The movie completely encapsulated the 80's to such a perfect degree that it could only be realized this many years later. Nicolas Cage at his best. A movie that just has so much character to it, that it makes you realize how sad hollywood has become (as far as quality goes). The special edition DVD is loaded with tons of extras and well worth it to purchase it as you'll have plenty of material to sift through. For sure.
11792_1	-	why oh why did i ever waste my time watching this film? it was given to me on video by a friend and i thought i'll watch it, it can't be that bad surely. firstly the acting is simply appalling and we're supposed to believe this is real? secondly this film is blatantly trying to copy the Blair witch project (yawn) and does so very poorly. so if you want the fright of your life i would suggest that a Simpson's Halloween special would be far scarier. but, if you just wanted to a laugh then maybe the general crapness of this film would suffice. but overall i would avoid this film at all costs or drink a large amount of alcohol before viewing. the best bit? its only about an hour and a half, thank god.
1106_9	-	Received this DVD from the ACCENT range which is a label which specializes in art-house flics, they released Irreversible and a range of Bergman's opus.The thing that struck me about Alex Frayne's strangely titled film MODERN LOVE is that it is an impeccable film that breathes with perfection and vision, a film that takes us into the mind of Mr Joe Average, replete with voices in the head, visions, and madness. It's set in rural redneck Australia, the film doesn't trivialise or praise the folks like so many Australian movies. ie our films are full of "loveable rogues" or people with "hearts of gold" etc etc etc.Not in this film. The spirit of Stanley Kubrick looms large here, it's not flawless, but has a mesmerising attention to details, a romantic streak and a mood that is bracing if not embraceable.Minor quibbles...the transfer looks faulty - front credits were sliced, they don't fit in frame.Also, one of the short films is corrupted, it stops half way.
10088_8	+	What can I say about this film that won't give you any preconceived notions when you see it? Very little. The plot has to do with the return from hospital of a teenage girl after she broke down. What follows after that is the movie. It is one of the creepiest most mind blowing films of the past several years. Everything about the film is just slightly off center and leaves you feeling ill at ease well after the film has ended. It is not a perfect film. The film has problems in its final half hour which make an already confusing story, even more confused.(If you've read any number of other comments here on IMDb and elsewhere you'll know that a great deal of time has been spent trying to unlock what actually is going on) I'm not sure what I actually think of this film beyond the fact that it scared me and disturbed me in ways that most well known horror films ever have. If you like horror, and don't mind not having everything clearly summed up I suggest you try this since it will more than likely make your skin crawl.
1677_10	+	I see alot of movies at the cinema (103 so far this year) and I have to say that this is by far and away the best film I have seen this year, even though it was released back in 1954!I sat in awe and watched this work of genius and felt quite ashamed that I had never even heard of it before my local art house cinema decided to show it for a week on what looked like a new print. The best part of the whole movie has to be the 28 minute break in where there is no speech and no music, merely the sound of the men carrying out the heist. Pure quality. Although really dark in places it is lightened with the dry humour.Not many films score 10 out of 10 but this does and also gets a gold star for effort!! If you ever get a chance to see this movie, please do not hesitate, it's a classic. 
809_1	-	Don't see this movie! It's... repulsive! The start is indeed very good, but in the middle everything falls and I really regret spending 80 crowns (about 11 dollars) on the ticket! Peter Dalle should consider this as his last chance to gain peoples interest. AWFUL picture! The only bright spot is the splendid work of Robert Gustavsson, Lena Nyman and G├╢sta Ekman.Hope you take my advise... The picture is rubbish.
11448_2	-	I've seen this movie n I can say that this is really a bad movie. The director's gone nuts... of course.. he does know a lot about the army, but then he certainly is a cheap guy. There are a lotta technical flaws in the movies as well...Okay... here's my doubt- in the end when they rescue the family (including a girl who was just raped)... why do they leave them there outside their place? I didn't see any ambulance around! There are a lot of aspects in the movie that are real... but then I just wish the Major had narrated/helped/assisted some other good director n made the movie.Mohanlal surely does deserve a better director!
9816_9	+	This film, based on the book by Pascal Laime' -La Dentelliere- is an acclaimed film of excellent cinematography and costly Italian language. Set in a "scholastic" 19th Century, Balzac-style set, it portraits the story of a mad love story: a man and a woman. There is an infamous line at this shadowy-Mussolinni strike which reads: "She does not smell like tomatoes." Sage perfumery of this Italian masterpiece, Scola is a director of the stature of Mussolinni: his cake will jump in your strawberries and if you let this director he will cream your olives as a Superman. Remember Nietzsche? This one will scare the HELL out of YOU: don't forget to visit Mussolinni's cake next to the Colisseum in Rome, across the Via Appia. This movie will wipe your Pampers inside-out and outside-in, it will make you cry out of Romantic joy! If you liked Ulysses, you will wipe it good with these strawberries until the end of the roll. Enjoy!
2050_3	-	Pretentious horror film that looks like a soap opera gone goth about a drug that send you to a fantasy world where strange creatures lurk. The film has some good imagery but its odd mix of whats real and whats not doesn't go anywhere. Worse are the vague pronouncements in voice over from one of the characters. It seems to herald a more serious, more meaningful film, but I don't think they even got into the serious or meaningful territory to begin with so trying to over sell the meaning comes off silly. There isn't a great deal to say, people talk, take drugs have visions...they talks some more. Its not bad so much as pointless and dull. The dull is the sin here and the reason you'll want to avoid this.
11869_1	-	OK, ill be brief. This film wasn't just bad it was very very bad, with line4s like " if you deal with the devil you expect to get sh*t on your shoes" you know your in hideous film territory. After watching this film i wanted to kill myself and my entire family, it gave me such a vast feeling of self-loathing I wanted to do murder. don't watch this film. i will kill again. but when I do it will be terribly edited with a pathetic soundtrack and stock shot for hire action sequences and bad shirts.fortunately there is a flipside, its the first action film to feature a three door ford sierra.unfortunately it ends up trashed on its roof :(Ps: Worse than the Marksman
7836_9	+	Forget some the whiny (and pointless) comments left here by some. This series is well acted, well shot, and makes a refreshing change to most of the pap on TV.Any fool can nitpick anything. However, in this show the characters are believable, the story lines intriguing and compelling (but do require some intelligence on the part of the viewer), overall it's enjoyable, and it's British !! (We do occasionally come up with some gems, and this is one of them).The shows are an hour long each and i think there are four of them all together (at least I've only seen four of them). The show clearly impressed some U.S. TV station/director who made a longer series which was nowhere near as compelling in spite of the bigger budget.If like soaps and reality shows you won't like or understand Eleventh Hour.
